SalesID,SalePrice,YearMade,Coupler_System,ProductSize,fiProductClassDesc,Grouser_Tracks,ModelID,saleElapsed,fiSecondaryDesc,fiModelDesc,Hydraulics_Flow
1139623,9.179881164491475,2008,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,,16770,1247097600,D,L2800D,
1142608,11.48246625748552,2004,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",,16591,1236211200,,PC400LC7,
1143493,11.512925464970229,2007,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",,14272,1220486400,C,200CLC,
1187578,11.010398644018933,2004,,,Motorgrader - 45.0 to 130.0 Horsepower,,18221,1233187200,,G86,
1190437,10.146433731146518,2005,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",,1078,1242864000,,304CR,
1208123,9.433483923290392,2002,Yes,,Skid Steer Loader - Unidentified,None or Unspecified,9578,1285804800,,S185,High Flow
1210686,9.51044496442652,2002,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",,20090,1296086400,,TB145,
1251785,9.903487552536127,1985,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,6788,642124800,,580,
1259270,9.047821442478408,1977,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3164,968889600,C,580C,
1259348,9.392661928770137,1977,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3164,890870400,C,580C,
1278169,10.621327345686446,1994,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,,3231,1151366400,B,821B,
1281294,9.838949031398556,1988,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,6788,707443200,,580,
1281992,9.51044496442652,1989,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3170,974332800,K,580K,
1283310,9.740968623038354,1989,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,,6752,709344000,,480,
1284001,9.998797732340453,1995,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3178,1028332800,SUPER L,580SUPER L,
1287242,9.9281801651265,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,993168000,L,580L,
1291110,9.825526011066415,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3178,1127952000,SUPER L,580SUPER L,
1292443,10.06475570013225,1998,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,1171324800,L,580L,
1293324,10.184900011974314,1999,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,1084579200,L,580L,
1300596,9.903487552536127,1968,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,4123,1151625600,C,D6C,
1305146,9.51044496442652,1970,,,Motorgrader - 45.0 to 130.0 Horsepower,,3356,785030400,F,12F,
1338707,10.021270588192511,1987,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",,4101,705024000,B,D4B,
1344251,10.043249494911286,1981,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,7277,804211200,,950,
1344293,10.545341438708522,1982,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,3819,881193600,B,950B,
1344858,10.858998997563564,1994,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,4124,911260800,D,D6D,
1346467,10.275051108968611,1978,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,1605,753408000,D,D6DLGP,
1361490,10.545341438708522,1988,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,4128,1005868800,H,D6H,
1362207,11.652687407345388,1997,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,4132,944092800,R,D6R,
1363806,9.581903928408666,1979,,,Wheel Loader - 100.0 to 110.0 Horsepower,,7267,715046400,,930,
1367640,10.896739325546411,1984,,Medium,Wheel Loader - 135.0 to 150.0 Horsepower,,7271,735955200,,936,
1369392,9.491752831414368,1971,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4146,816480000,H,D8H,
